acc,rt,rt_pred,acc_pred,condition,country,id
1,3.87,8.1036123567789,0.7380208333333333,3,11,22743
1,9.42,8.022274006307223,0.7323284823284824,3,11,22743
1,7.89,7.93330408191272,0.7539184952978056,3,11,22743
1,14.71,7.925659870958348,0.7250129466597618,3,11,22743
0,9.8,8.129271450812514,0.75721027792344,3,11,22743
1,12.33,7.966621030903674,0.7402528977871443,3,11,22743
1,8.0,7.956797678810833,0.7457716701902748,3,11,22743
1,6.23,7.985299195472374,0.7331592689295039,3,11,22743
1,11.07,8.065829681141981,0.7421383647798742,3,11,22743
1,6.52,8.067310081738663,0.7377824487651077,3,11,22743
1,9.02,7.857862121030214,0.7520703933747412,3,11,22743
1,5.58,8.200370654717341,0.7395397489539749,3,11,22743
1,4.3,8.095321364348155,0.7341705913134484,3,11,22743
1,10.46,8.076102041003328,0.741514360313316,3,11,22743
0,5.58,7.918308447800302,0.7526150627615062,3,11,22743
0,6.48,8.023747728561203,0.7459231983166754,3,11,22743
0,16.34,8.080631509326805,0.7342436974789915,3,11,22743
1,5.54,7.948633737025584,0.74375,3,11,22743
0,10.43,7.9794227791235794,0.7482957524908233,3,11,22743
