acc,rt,rt_pred,acc_pred,condition,country,id
1,6.18,10.584235927419202,0.8093467870419543,3,16,33917
1,11.12,10.699747431419347,0.802771855010661,3,16,33917
0,15.2,10.612205637443369,0.8208714362560516,3,16,33917
1,17.47,10.678472377178261,0.8133689839572192,3,16,33917
1,11.93,10.621418298537858,0.8100053219797765,3,16,33917
1,4.98,10.495255944723601,0.8230605738575983,3,16,33917
0,14.8,10.582499451626244,0.8117709437963945,3,16,33917
1,5.4,10.56713375272962,0.810153358011634,3,16,33917
1,8.47,10.696636748991262,0.8049171566007483,3,16,33917
1,10.8,10.618163466665635,0.8181333333333334,3,16,33917
1,13.5,10.833944141842617,0.8242229367631297,3,16,33917
1,7.65,10.755993650289627,0.8221386351423966,3,16,33917
1,8.75,10.726351360176317,0.81455525606469,3,16,33917
1,8.5,10.6794791255048,0.8031368307193077,3,16,33917
1,21.46,10.499776564556745,0.811632870864461,3,16,33917
1,19.42,10.65560943167874,0.810010764262648,3,16,33917
1,7.86,10.736831439091757,0.82409381663113,3,16,33917
0,15.77,10.83866011767446,0.8155391120507399,3,16,33917
0,10.46,10.453571455364534,0.8093699515347335,3,16,33917
1,9.68,10.657092519154624,0.801595744680851,3,16,33917
