acc,rt,rt_pred,acc_pred,condition,country,id
0,16.18,9.284801123505183,0.5835515976951283,3,1,2027
1,9.33,9.33242112293532,0.5992588671254632,3,1,2027
1,11.15,9.208842711222305,0.5844772967265047,3,1,2027
1,6.36,9.231788182874592,0.5860243515087348,3,1,2027
1,7.56,9.22271226356594,0.5827186512118019,3,1,2027
1,10.2,9.271823659234,0.5774722369116869,3,1,2027
1,10.4,9.236615890655353,0.5582371458551941,3,1,2027
1,14.88,9.135556186476006,0.5868200836820083,3,1,2027
0,11.1,9.15298275601936,0.5899318300996329,3,1,2027
1,8.88,9.222916881846551,0.5935044525929806,3,1,2027
0,5.49,9.296228553286609,0.589622641509434,3,1,2027
0,8.0,9.370946376693928,0.5831162063574779,3,1,2027
0,8.29,9.075692252842908,0.5793650793650794,3,1,2027
1,6.06,9.251795876498253,0.5780346820809249,3,1,2027
0,12.64,9.188984554525454,0.5810381355932204,3,1,2027
0,12.27,9.200231885382506,0.5646008403361344,3,1,2027
1,8.02,9.225231053823697,0.5878342947037232,3,1,2027
