acc,rt,rt_pred,acc_pred,condition,country,id
1,12.13,11.13299383130619,0.7714586624539231,3,12,25326
1,12.36,11.148487014124811,0.7628374801482266,3,12,25326
0,8.65,11.2533021042523,0.7649527806925498,3,12,25326
1,8.95,11.185160880493141,0.7724137931034483,3,12,25326
1,8.07,11.04495259734478,0.7538057742782153,3,12,25326
1,18.06,11.2552803554033,0.7730384412848867,3,12,25326
1,10.81,11.165539426531707,0.7689030883919062,3,12,25326
1,5.31,11.351677026327327,0.7524960588544404,3,12,25326
1,10.07,11.303042390253012,0.7660020986358866,3,12,25326
1,13.62,11.269599305117712,0.7878627968337731,3,12,25326
1,9.45,11.399406909815974,0.767087276550999,3,12,25326
1,13.47,11.128995111192083,0.7587117212249208,3,12,25326
1,7.72,11.178314004238779,0.761854583772392,3,12,25326
0,16.22,11.144315807621423,0.7650158061116965,3,12,25326
1,12.99,11.154397375910783,0.7593078133193497,3,12,25326
1,8.61,11.36044213808872,0.7574646411733892,3,12,25326
0,7.06,11.16338335900672,0.7679413305395495,3,12,25326
0,23.09,11.275407623553303,0.7505285412262156,3,12,25326
0,17.19,11.131610744482508,0.7681007345225603,3,12,25326
1,12.23,11.202604802919456,0.7813638729828214,3,12,25326
