acc,rt,rt_pred,acc_pred,condition,country,id
1,3.6,4.447412761355292,0.5805471124620061,3,4,6915
1,4.78,4.490820075882814,0.5704868154158215,3,4,6915
1,5.7,4.511916862792098,0.5622775800711743,3,4,6915
1,8.82,4.434381013616351,0.5795339412360689,3,4,6915
1,2.78,4.465298469964959,0.5956477732793523,3,4,6915
0,5.7,4.424913167576696,0.5639593908629441,3,4,6915
1,5.87,4.432542120136384,0.5709201830198272,3,4,6915
1,5.62,4.448798939646827,0.5821501014198783,3,4,6915
1,5.03,4.474613386472421,0.5678009141696293,3,4,6915
1,2.59,4.510745724562716,0.5869565217391305,3,4,6915
0,4.46,4.512142022097395,0.5818550430816016,3,4,6915
1,2.99,4.4417011337269034,0.5800711743772242,3,4,6915
1,4.12,4.4799607754219375,0.5894576786619361,3,4,6915
0,6.08,4.416523967703315,0.5844748858447488,3,4,6915
0,4.64,4.483489093203952,0.5730223123732252,3,4,6915
0,5.38,4.419355937072935,0.5687468290208016,3,4,6915
0,2.72,4.488891872250736,0.5568527918781726,3,4,6915
0,4.58,4.435319241485349,0.5684689236988378,3,4,6915
0,3.13,4.510983294397316,0.5616089613034623,3,4,6915
